CASE TYPE,SOLUTION STRENGTH,STRENGTH (%),CH2O INDEX,SPECIAL TREATMENT,SUGGESTED ACCESSORY/SUPPLIMENTAL,HUMECTANT,INSTRUCTIONS,CORE_CATEGORY,RISK_MODEL
Decomposition,Very strong,3,>30<40,Ensure thorough preservation; control odor,Concentrated cavity fluid,No,Use restricted cervical via carotid. Aspirate cavities and reaspirate and reinject concentrated cavity fluid. Apply surface gels and pack orifices. Use stronger fluid for delays.,Decomposition Conditions,Bacterial load (infection or decomposition)
Delayed Embalming,Strong,2.5,>26<30,Prevent decomposition,High index fluid,No,Use strong arterial fluid with limited drainage,Decomposition Conditions,Postmortem interval (time-related changes)
Early Decomposition,Strong,2.5,>26<30,Control odor and discoloration; preserve tissues,Autopsy gel,No,Use six-point injection (carotid and axillary and femoral). Aspirate cavities and apply autopsy gel and embalming powder. Inject head last and use hypodermic cavity fluid for under-embalmed areas.,Decomposition Conditions,Bacterial load (infection or decomposition)
Skin Slip,Strong,2.5,>26<30,Preserve epidermis,Hardening compound,No,Apply phenolic packs and reduce moisture exposure,Decomposition Conditions,Bacterial load (infection or decomposition)
Dehydration,Mild,1.25,>10<18,Restore moisture; cover darkened skin,Hypotonic fluid,Yes,Use restricted cervical with humectant coinjection and slow rate. Apply massage cream to lips and fingertips to reduce flaking. Inject tissue builder for sunken areas. Use opaque cosmetics.,Dehydration / Emaciation,Fluid imbalance (edema or dehydration)
Emaciated Body,Mild to Moderate,1.5,>15<18,Rehydrate tissues; avoid over-hardening,Hypotonic fluid,Yes,Add humectant to arterial solution. Inject slowly via carotid with intermittent drainage. Apply surface gels.,Dehydration / Emaciation,Fluid imbalance (edema or dehydration)
Extreme Cachexia,Moderate,1.8,>18<20,Restore moisture,Humectant co-injection,Yes,Use humectants and gentle injection pressure,Dehydration / Emaciation,Fluid imbalance (edema or dehydration)
Severe Dehydration,Moderate,1.8,>18<20,Rehydrate tissues,Humectant additives,Yes,Use humectant rich arterial fluid,Dehydration / Emaciation,Fluid imbalance (edema or dehydration)
Anasarca,Strong,2.5,>26<30,Minimize fluid and decomposition; control leakage,Embalming powder,No,Use restricted cervical with strong fluid and large volumes. Elevate body and use intermittent drainage. Aspirate cavities and use plastic unionall with embalming powder.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Ascites,Moderate to Strong,2,>26<30,Relieve abdominal pressure; preserve viscera,Embalming powder,No,Aspirate pre-embalming via trocar in inguinal area. Use restricted cervical and inject cavity fluid post-arterial. Reaspirate and use embalming powder in unionall.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Hydrocele,Moderate to Strong,2,>21<25,Reduce scrotal swelling; ensure preservation,Undiluted cavity fluid,No,Channel scrotum with trocar during aspiration and drain into pelvic cavity. Inject undiluted cavity fluid and apply autopsy gel. Use plastic garments to contain leakage.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Hydrocephalus,Moderate to Strong,2,>21<25,Prevent cranial purge; preserve infant tissues,,No,Drain via nostril through ethmoid bone post-arterial. Inject cavity fluid same route and pack nostrils with cotton. Use restricted cervical for body injection.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Hydropericardium,Moderate to Strong,2,>21<25,Preserve heart sac; prevent fluid dilution,Undiluted cavity fluid,No,Aspirate pericardial sac post-arterial. Use restricted cervical and inject undiluted cavity fluid. Ensure thorough cavity treatment to counter dilution.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Hydrops,Strong,2.5,>26<30,Control extensive edema,High index co-injection,No,Use strong arterial solution with restricted drainage,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Hydrothorax,Moderate to Strong,2,>21<25,Relieve thoracic pressure; reduce facial swelling,,No,Aspirate thorax post-arterial and direct trocar to posterior areas. Use restricted cervical and drain from jugular. Reaspirate and inject cavity fluid to prevent purge.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Pitting Edema (Face),Moderate to Strong,2,>21<25,Reduce facial swelling; restore appearance,Epsom salts solution,No,Elevate head and use restricted cervical with Epsom salts solution. Channel neck with trocar to drain into thorax. Massage downward and apply surface cavity fluid compresses.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Pitting Edema (General),Moderate to Strong,2,>21<25,Reduce swelling; prevent leakage,Hypertonic fluid,No,Elevate body and use restricted cervical with hypertonic fluid. Massage tissues and use intermittent drainage. Apply plastic garments and reaspirate cavities.,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Pitting Edema (Hands),Strong,2.3,>24<28,Reduce swelling,Hypertonic co-injection,No,Elevate hands and inject slowly,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Pitting Edema (Legs),Strong,2.3,>24<28,Reduce swelling,Hypertonic co-injection,No,Elevate limbs during injection,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Severe Facial Edema,Strong,2.3,>24<28,Reduce swelling,Hypertonic co-injection,No,Inject slowly and massage tissue,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Solid Edema,Strong,2.5,>26<30,Firm tissues,Water correcting chemicals,No,Use restricted drainage with strong solution,Edema / Excess Tissue Fluid,Fluid imbalance (edema or dehydration)
Contagious Diseases,Very strong,3,>30<40,Maximize tissue saturation; ensure sanitation,,No,Use multi-point injection (carotid and femoral). Aspirate cavities thoroughly and use closed drainage. Disinfect with phenol and pack orifices.,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Decubitus Ulcers,Strong,2.5,>26<30,Control infection and odor; preserve sores,Autopsy gel,No,Disinfect and pack with autopsy gel pre-embalming. Inject cavity fluid hypodermically around sores. Use plastic garments and embalming powder to control odor.,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Gangrene,Strong,2.5,>26<30,Dry necrotic tissue; control odor,Surface gels,No,Inject via carotid and avoiding femoral. Apply hypodermic cavity fluid and surface gels. Use closed drainage.,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Gas Gangrene,Very strong,3.0,>32<36,Control bacterial gas,Phenolic packs,No,Inject strong arterial fluid and treat affected areas locally,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Hepatitis (B/C),Strong,2.5,>26<30,Counter jaundice and liver damage; ensure preservation,Fluid dye,No,Use restricted cervical with fluid dye for jaundice and high pressure. Inject large volumes and intermittent drainage. Reaspirate cavities and apply autopsy gel for lesions. Use plastic garments to contain leakage.,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
HIV/AIDS,Moderate to Strong,2,>21<25,Manage immunosuppression; preserve tissues,Autopsy gel,No,Use restricted cervical and moderate pressure. Disinfect with soap and apply autopsy gel if lesions present. Inject cavity fluid thoroughly and use biohazard precautions and ensure thorough drainage.,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
MRSA,Very strong,3,>30<40,Control resistant bacteria; protect embalmer,Autopsy gel,No,Disinfect with antimicrobial soap pre-embalming. Use multi-point injection and high pressure. Apply autopsy gel to sores and pack with disinfectant cotton. Use unionall with embalming powder and biohazard disposal.,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Mycotic Infections,Very strong,3,>30<40,Disinfect fungi and protect embalmer,Autopsy gel,No,Disinfect body with antifungal soap pre-embalming. Use restricted cervical and strong fluid. Apply autopsy gel to lesions and pack orifices with disinfectant cotton and use biohazard precautions.,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Septicemia,Strong,2.5,>26<30,Control bacteria,High index cavity fluid,No,Inject strong arterial fluid and aspirate cavities,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Tissue Gas,Very strong,3.0,>30<36,Control bacterial activity,Phenolic chemicals,No,Inject strong solution and apply cavity packs,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Tuberculosis,Strong,2.3,>24<28,Disinfect tissues,Phenolic disinfectants,No,Use strong arterial fluid and PPE precautions,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Ulcerations,Moderate,1.8,>18<20,Preserve tissue defects,Surface packs,No,Clean area and apply cavity fluid compress,Infection / High Bacterial Load,Bacterial load (infection or decomposition)
Alcoholism,Strong,2.5,>26<30,Counter jaundice and edema and weak tissues,Fluid dye,No,Use restricted cervical with strong fluid and extra dye for jaundice. Aspirate ascites pre-embalming and inject large volumes and slow rate. Apply cavity fluid compresses for ecchymosis and reaspirate.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Breast Cancer,Moderate to Strong,2,>21<25,Preserve chest tissues; manage tumor and surgery sites,Autopsy gel,No,Use restricted cervical and multi-point injection for chest. Hypodermically inject tumor areas. Apply autopsy gel to incision or biopsy sites.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Cardiac Arrhythmia,Moderate to Strong,2,>21<25,Ensure arterial distribution; preserve heart tissue,Autopsy gel,No,Use restricted cervical injection with moderate pressure. Drain from jugular and aspirate cavities. Massage to distribute fluid evenly.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Colorectal Cancer,Moderate to Strong,2,>21<25,Preserve intestinal tissues; manage tumor sites,Autopsy gel,No,Use restricted cervical injection and hypodermic cavity fluid for intestinal tumors. Pack abdominal cavity with autopsy gel. Ensure thorough drainage.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Diabetes,Strong,2.5,>26<30,Address infections and gangrene and muscle atrophy,Fluid dye,No,Use restricted cervical with strong fluid and high pressure and fluid dye for jaundice. Massage extremities and use intermittent drainage. Inject gangrene or atrophied areas with cavity fluid and apply autopsy gel.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Drug Overdose,Strong,2.5,>26<30,Counter tissue toxicity; manage edema, possible purge,Autopsy gel,Use restricted cervical injection with strong arterial solution. Drain thoroughly to avoid fluid pooling. Hypodermically inject cavity fluid for viscera with high metabolite content. Pack orifices with cotton.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Heart Attack (Coronary Artery Disease),Strong,2.5,>26<30,Clear congestion; preserve heart and vessels,Autopsy gel,No,Use restricted cervical injection with strong arterial solution. Aspirate heart and thoracic cavities. Hypodermically inject cavity fluid into myocardium as needed.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Jaundice,Mild,1.25,>10<18,Counter discoloration; ensure preservation,Fluid dye,No,Use restricted cervical with fluid dye to mask green hue. Inject head separately and slow rate. Apply massage cream and opaque cosmetics if discoloration persists.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Liver Cancer,Moderate to Strong,2,>21<25,Counter hepatic tissue breakdown; preserve liver,Autopsy gel,No,Use restricted cervical and multi-point injection. Hypodermically inject liver tissue. Apply autopsy gel to surrounding abdominal tissue.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Lung Cancer,Moderate to Strong,2,>21<25,Manage tumor tissue; preserve lungs,Autopsy gel,No,Use restricted cervical and multi-point injection. Hypodermically inject tumors. Apply autopsy gel to lung tissue and cavities. Monitor purge.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Obesity,Moderate to Strong,2,>26<30,Ensure distribution; prevent purge,Embalming powder,No,Use restricted cervical via carotid and jugular drainage. Inject large volumes and moderate pressure. Elevate head and massage limbs and aspirate cavities to prevent purge and use plastic garments.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Pancreatic Cancer,Moderate to Strong,2,>21<25,Preserve abdominal tissues; counter pancreatic enzymes,Autopsy gel,No,Use restricted cervical injection with strong fluid. Aspirate abdominal cavity and hypodermically treat pancreas. Pack cavity with autopsy gel. Monitor for purge.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Stroke (Cerebrovascular Accident),Strong,2.5,>26<30,Prevent brain decomposition; manage edema,Autopsy gel,No,Use restricted cervical injection with strong fluid. Aspirate cranial cavity thoroughly. Hypodermically inject cavity fluid to brain and surrounding tissue. Apply autopsy gel to scalp and facial tissues.,Metabolic / Organ Failure,"Chemical disruption (drugs, disease chemistry)"
Arterial Coagula,Moderate to Strong,2,>21<25,Clear blockages; ensure fluid flow,,No,Inject via carotid and slow rate and avoid preinjection fluids. Massage distal to heart and use intermittent drainage. Use multisite injection for persistent clots or drug-induced blockages.,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Arteriosclerosis,Moderate to Strong,2,>21<25,Ensure fluid distribution; overcome blockages,Fluid dye,No,Inject via carotid and slow rate and high pressure. Massage limbs and use fluid dye. Use multisite injection for clots and intermittent drainage to clear blockages.,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Clotting,Moderate,1.8,>18<20,Prevent clot movement to head,,No,Inject via carotid to push clots downward. Drain from jugular intermittently. Massage to clear blockages. Aspirate heart.,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Collapsed Veins,Strong,2.5,>26<30,Restore flow,Pre-injection chemicals,Yes,Massage vessels and use higher pressure,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Flushing,Moderate,1.8,>18<20,Clear cyanosis; enhance drainage,Fluid dye,No,Use restricted cervical and alternate drainage sites (jugular and femoral). Inject slowly with fluid dye. Massage face and hands to clear discoloration. Apply cosmetics.,Poor Arterial Distribution,
Obstructed Arteries,Strong,2.5,>26<30,Restore distribution,Pre-injection fluids,Yes,Massage vessels and use multi-point injection,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Poor Circulation,Strong,2.3,>24<28,Improve distribution,Pre-injection fluid,Yes,Use pre-injection chemicals then main arterial injection,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Scar Tissue,Strong,2.3,>24<28,Improve arterial penetration,Co-injection fluids,No,Use multi-point injection and increase pressure gradually,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Vascular Collapse,Strong,2.5,>26<30,Restore vessel flow,Pre-injection chemicals,Yes,Massage vessels and inject slowly,Poor Arterial Distribution,Circulation failure (fluid cannot distribute)
Advanced Purge,Strong,2.5,>26<30,Control purge,Cavity chemicals,No,Aspirate early and pack orifices,Postmortem Changes,Postmortem interval (time-related changes)
Frozen Body,Moderate to Strong,2,>21<25,Manage tissue damage; ensure thawing,Hypotonic fluid,Yes,Thaw body slowly pre-embalming. Use restricted cervical with humectant coinjection and slow rate. Massage limbs to aid distribution and apply massage cream to prevent flaking. Reaspirate cavities.,Postmortem Changes,Postmortem interval (time-related changes)
Livor Mortis,Moderate,1.8,>18<20,Clear blood pooling; promote drainage,,No,Inject via carotid; drain from jugular intermittently. Massage to clear pooling. Aspirate heart for residual blood.,Postmortem Changes,Postmortem interval (time-related changes)
Normal/Average/Typical Body,Moderate,1.8,>18<20,Maintain moisture balance; prevent dehydration,Hypotonic fluid,Yes,Use restricted cervical with hypotonic fluid and slow injection. Apply massage cream to face and hands. Avoid rapid drainage and cover body post-embalming to retain moisture.,Postmortem Changes,
Postmortem Bruising,Moderate,1.8,>18<20,Control discoloration,Bleaching packs,No,Apply surface compress with bleaching chemicals before cosmetics,Postmortem Changes,Postmortem interval (time-related changes)
Postmortem Stain,Moderate,1.8,>18<20,Reduce discoloration,Surface bleaching agents,No,Use arterial injection followed by localized bleaching,Postmortem Changes,Postmortem interval (time-related changes)
Purge,Strong,2.3,>24<28,Control purge,Cavity chemicals,No,Aspirate stomach and thoracic cavity early then pack orifices,Postmortem Changes,Postmortem interval (time-related changes)
Rigor Mortis,Moderate,1.8,>18<20,Break rigidity before injection,Massage cream,Yes,Flex joints and massage muscles before arterial injection,Postmortem Changes,Postmortem interval (time-related changes)
Severe Hypostasis,Strong,2.3,>24<28,Clear lividity,Pre-injection fluids,Yes,Massage and inject slowly to distribute fluid,Postmortem Changes,Circulation failure (fluid cannot distribute)
CO Poisoning,Moderate,1.8,>18<20,Manage cherry-red livor; prevent graying,Fluid dye,No,Use restricted cervical via carotid and extra fluid dye. Ensure thorough drainage from jugular. Elevate head and apply opaque cosmetics if graying occurs post-embalming.,Respiratory and Lung Conditions,
Congestive Heart Failure,Moderate,1.8,>18<20,Clear congestion and edema; manage cyanosis,,No,Use restricted cervical and drain from jugular. Inject mild fluid first and then stronger for edema. Massage face and hands and aspirate cavities to reduce distension.,Respiratory and Lung Conditions,"Chemical disruption (drugs, disease chemistry)"
Drowning,Moderate,1.8,>18<20,Manage livor and cyanosis; prevent purge,Fluid dye,No,Use restricted cervical with strong fluid and extra dye. Drain thoroughly from jugular and elevate body. Aspirate lungs to prevent purge. Apply cosmetics for cyanosis.,Respiratory and Lung Conditions,
Pneumonia / Sepsis,Very Strong,3,>30<40,Prevent tissue breakdown; counter infection,Undiluted cavity fluid,No,Use restricted cervical and multi-point injection with strong fluid. Aspirate lungs and abdominal cavities thoroughly. Apply autopsy gel to all orifices. Use biohazard precautions.,Respiratory and Lung Conditions,
Pulmonary Edema,Strong,2.3,>24<28,Control purge and lung fluids,Cavity fluid,No,Aspirate thoracic cavity thoroughly and pack airway,Respiratory and Lung Conditions,
Subcutaneous Emphysema,Strong,2.3,>24<28,Remove trapped gas,Incision drainage,No,Make small incisions to release gas before injection,Respiratory and Lung Conditions,
Abdominal Autopsy,Strong,2.5,>26<30,Preserve lower body; manage cavity,Autopsy gel,No,Inject carotid or aorta and treat walls with gels. Aspirate thorax via diaphragm. Suture with baseball stitch.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Autopsied Body,Strong,2.5,>26<30,Preserve dissected tissues; control leakage,Autopsy gel,No,Pack viscera with autopsy gel pre-injection. Be sure to clamp off cut end of arterials in cranium. Use six-point injection with higher pressure down only. Up both carotid with very low rate of flow and low volume. Reaspirate cavities and inject multiple cavity fluid bottles. Use plastic unionall with embalming powder.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Complete Autopsy,Strong,2.5,>26<30,Address full cavity disruption; ensure preservation,Autopsy gel,No,Use six-point injection (carotid and subclavian and iliac). Clamp transected arteries. Apply hypodermic fluid and gels and cotton packing. Suture with baseball stitch and wire calvarium.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Cornea Removal,Moderate to Strong,2,>21<25,Prevent leakage; restore eye contour,Autopsy gel,No,Aspirate eye globe and pack with gel-soaked cotton. Fill with putty post-injection and use eyecap and glue eyelids.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Eye Enucleation,Moderate,1.8,>18<20,Control orbital swelling; restore appearance,Autopsy gel,No,Use restricted cervical. Pack orbit with autopsy gel pre-injection and fill with cotton/putty post-injection. Glue eyelids.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Long Bone Donation,Strong,2.5,>26<30,Preserve skin; manage empty limbs,Autopsy gel,No,Use stronger fluid and no preinjection. Inject femoral/popliteal and hypodermic supplement. Pack with cavity fluid/gels and suture tightly and use plastic garments.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Mandible Donation,Strong,2.5,>26<30,Restore jaw; manage vascular disruption,,No,Inject carotid and hypodermic facial tissues. Suture/glue jaw incision and fill with cotton/putty. Apply cosmetics.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Military/Shipping Requirements,Strong,2.5,>26<30,Ensure thorough preservation for transport,Embalming powder,No,Use six-point injection (carotid and axillary and femoral). Aspirate cavities and reaspirate before shipping. Use plastic garments and baseball sutures.,Surgical / Medical Intervention,
Organ Donation,Strong,2.5,>26<30,Preserve post-removal cavities; control leakage,Autopsy gel,No,Pack donor sites with autopsy gel. Use six-point injection and high pressure. Aspirate cavities thoroughly and inject multiple cavity fluid bottles. Use plastic unionall with embalming powder to prevent leakage.,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Proximal Humerus/Scapula Donation,Moderate,2.0,>20<22,Stabilize shoulder tissues,Autopsy gel,Yes,Inject carotid and pack donor area,Surgical / Medical Intervention,
Radiation Therapy,Moderate,2.0,>20<22,Preserve fragile tissues,Humectant co-injection,Yes,Use mild arterial solution and humectants,Surgical / Medical Intervention,
Rib Donation,Moderate,2.0,>20<22,Preserve thoracic area,Autopsy gel,Yes,Inject normally and treat exposed areas with cavity chemicals,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Skin Donation,Moderate,2.0,>20<22,Preserve remaining dermis,Surface preservative,Yes,Apply preservative gels after arterial injection,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Surgical Incisions,Moderate,2.0,>20<22,Preserve incision integrity,Suture sealing gel,Yes,Inject slowly and reinforce sutures,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Temporal Bone Donation,Moderate,2.0,>20<22,Protect cranial area,Sealing compounds,Yes,Inject via carotid and seal cranial cavity,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Tissue Donation,Moderate,2.0,>20<22,Maintain tissue integrity,Sealing powders,Yes,Inject normally then treat donor areas topically,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Vertebral Body Donation,Moderate,2.0,>20<22,Stabilize spinal area,Autopsy powder,Yes,Inject carotid and treat exposed vertebral area,Surgical / Medical Intervention,Tissue damage (trauma or surgery)
Abrasions,Moderate,1.8,>18<20,Dry moist areas; enhance cosmetics,Surface gels,No,Clean pre-embalming. Inject via carotid. Apply surface preservatives and pack with cotton. Use cosmetics post-embalming.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Burned Tissue,Strong,2.5,>26<30,Protect fragile areas; minimize leakage,Surface gels,No,Avoid burned areas; inject via carotid with intermittent drainage. Apply surface gels and pack with cotton.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Burns (First-Degree),Moderate,1.8,>18<20,Preserve reddened skin; control discoloration,Fluid dye,No,Use restricted cervical with fluid dye and slow injection. Clean skin with disinfectant soap. Apply massage cream and opaque cosmetics to mask redness.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Burns (Second-Degree),Moderate to Strong,2,>21<25,Preserve damaged skin; control edema and odor,Hypertonic fluid,No,Remove loose skin and wash with disinfectant soap. Use multi-point injection and extra dye and hypertonic fluid for edema. Apply autopsy gel and use unionall with embalming powder. Dry tissues for cosmetics.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Burns (Third-Degree),Strong,2.5,>26<30,Preserve charred tissue; control odor,Fluid dye,No,Use multi-point injection with strong fluid and extra dye. Apply autopsy gel to exposed areas and use unionall with embalming powder. Hypodermically inject cavity fluid to unembalmed regions.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Facial Trauma,Strong,2.5,>26<30,Firm tissues; restore features,,No,Use restricted cervical and stronger fluid for face. Pulse injection and suture/glue lacerations and align fractures. Apply gels and cosmetics.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Fall,Moderate to Strong,2,>21<25,Restore features; manage blunt trauma,Autopsy gel,No,Use restricted cervical injection with strong fluid. Hypodermically treat bruised or crushed areas. Apply surface gels and compression as needed.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Fractured Bones,Moderate to Strong,2,>21<25,Align bones; ensure tissue preservation,,No,Align pre-embalming. Inject via carotid; use sectional injection if needed. Suture carefully with baseball stitch.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Gunshot Wounds (Head/Face),Moderate to Strong,2,>18<20,Restore features; control swelling,,No,Use restricted cervical and pulse strong fluid to head. Pack wounds with phenol-soaked cotton and suture fractures. Apply hypodermic cavity fluid and opaque cosmetics.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Hanging/Strangulation,Moderate,1.8,>10<18,Manage congestion; preserve tissues,Fluid dye,No,Use restricted cervical with fluid dye and slow injection. Drain from jugular to clear congestion. Massage face gently and apply opaque cosmetics if discoloration persists.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Lacerations,Moderate to Strong,2,>21<25,Align torn skin; ensure preservation,Super adhesive,No,Suture pre-embalming. Inject via carotid with closed drainage. Apply super adhesive and surface gels post-embalming.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Motor Vehicle Accident,Strong,2.5,>26<30,Restore features; manage trauma; prevent leakage,Autopsy gel,No,Use multi-point injection with strong fluid. Hypodermically treat crushed areas and cavities. Apply surface gels to lacerations. Elevate limbs and pack orifices.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Mutilated/Traumatized Body,Strong,2.5,>26<30,Restore features; control leakage and swelling,Autopsy gel,No,Pack wounds with phenol-soaked cotton pre-injection. Use multi-point injection and high pressure. Suture lacerations and apply hypodermic cavity fluid. Use autopsy gel and opaque cosmetics for restoration.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Suicide,Strong,2.5,>26<30,Manage trauma from method; preserve tissues,Autopsy gel,No,Use multi-point injection with strong arterial fluid. Hypodermically treat wound tracks and cavities. Apply autopsy gel to facial trauma and pack orifices.,Trauma / Physical Damage,Tissue damage (trauma or surgery)
Antibiotic Use,Strong,2.5,>26<30,Counter fungal blockages and waste retention,Fluid dye,No,Use restricted cervical with strong fluid and preinjection to restore membrane permeability. Inject large volumes and extra dye for jaundice. Reaspirate cavities and apply antifungal powder in unionall.,Surgical / Medical Intervention,"Chemical disruption (drugs, disease chemistry)"
Cancer Chemotherapy,Moderate to Strong,2,>26<30,Preserve emaciated tissues and counter wastes,Fluid dye,No,Use six-point injection with strong fluid and extra dye for jaundice. Aspirate cavities immediately and apply autopsy gel for purpura. Use unionall with embalming powder for leakage.,Surgical / Medical Intervention,"Chemical disruption (drugs, disease chemistry)"
